block,timestamp,time,aDAI_rate,aUSDC_rate,aWBTC_rate,aUSDT_rate,aTUSD_rate
12081825,1616325217,2021-03-21T11:13:37.000Z,1027660458601314965663330904,1027682385848725255120325843,1001143191001138734062555397,1030733355846279722747633908,1030671733126304268888400129
12087585,1616402611,2021-03-22T08:43:31.000Z,1027823638462835108517700549,1027827093395290928607734057,1001146859953974509909768446,1030882346430267423030031045,1031083172140601130121967071
12093345,1616479050,2021-03-23T05:57:30.000Z,1028000971052539817881024792,1027975979981792863988580876,1001153412410626825158445668,1031031983130148547584957524,1031488126036585898762972441
12099105,1616555582,2021-03-24T03:13:02.000Z,1028201524437987932950242984,1028129181847522510144308486,1001158175285333477671055205,1031187492515325218406476440,1031845531337931285118362100
12104865,1616631844,2021-03-25T00:24:04.000Z,1028421665343298279266847916,1028317702687914339099626426,1001162391485527279252122003,1031367148080586739138151783,1032237345677506895084633637
12110625,1616708392,2021-03-25T21:39:52.000Z,1028588312091954700065263091,1028467901311788183335585764,1001165470679497540870585261,1031540501883350650625626530,1032575907845762095019375677
12116385,1616784776,2021-03-26T18:52:56.000Z,1028744977670604304821063189,1028613699781910878302426687,1001169896691485589456754773,1031698838767399170874525261,1032935565370722936522268056
12122145,1616862326,2021-03-27T16:25:26.000Z,1028926764641021526354067450,1028770826790614257469280502,1001181379296333758177940956,1031853359871600789461367922,1033232811746876315419212396
12127905,1616938280,2021-03-28T13:31:20.000Z,1029094715243766941568080033,1028988020314591208141501026,1001186677683486915163453594,1032053309078794251731852898,1033505319685483203152649821
12133665,1617014888,2021-03-29T10:48:08.000Z,1029240980537454858584023610,1029166265331947820606752834,1001190587412483532308013844,1032204398433377433218591613,1033762437461163636840339210
12139425,1617091314,2021-03-30T08:01:54.000Z,1029409769070157820342318095,1029342007946852279431061984,1001195160653761565841887184,1032372582563894462596381449,1034014435211766925415638295
12145185,1617167678,2021-03-31T05:14:38.000Z,1029585173671111503387725286,1029536615374115628475484699,1001198685013556660016747005,1032597000657291980135971232,1034264993051766980181007130
12150945,1617244290,2021-04-01T02:31:30.000Z,1029784759792411323825401064,1029771310450303453443280263,1001201696814046080740756896,1032921938625104261074438150,1034541802393344054746944453
12156705,1617320888,2021-04-01T23:48:08.000Z,1029977292173417393290335251,1029935670853481475621860653,1001203704267963357188736688,1033303175405378340596953185,1034954605951932153716818246
12162465,1617397643,2021-04-02T21:07:23.000Z,1030208122257211296285298648,1030145551353237313336536663,1001205861888676264347811433,1033604470926475000211474357,1035378829570602244347488047
12168225,1617474515,2021-04-03T18:28:35.000Z,1030465115289222680621518559,1030454180015649786328260747,1001207687009883533935221593,1033916880839433594089064861,1035769414654152491366721047
12173985,1617550613,2021-04-04T15:36:53.000Z,1030775172543822848211125213,1030820149333126403759590806,1001209391984290140563215410,1034219692715419335726309703,1036127609851457477712429266
12179745,1617626677,2021-04-05T12:44:37.000Z,1031061052645739526800644294,1031134357013283596249609280,1001211048397956499190059238,1034508505618407829545472719,1036480056647714159965892952
12185505,1617703226,2021-04-06T10:00:26.000Z,1031263074411255724312093076,1031381861987961658238233255,1001212520049388589577927828,1034704187349963766360975278,1036836930710472159242295428
12191265,1617779287,2021-04-07T07:08:07.000Z,1031508786135525489872650216,1031612440422919188397498621,1001213237241385456361786766,1034923809929534151824633968,1037176846464239929611043489
12197025,1617856223,2021-04-08T04:30:23.000Z,1031705552976992417652591895,1031841806513379467138220664,1001213993597991109875058181,1035092493848570684812029422,1037482799802456840138242160
12202785,1617932537,2021-04-09T01:42:17.000Z,1031902337442057959496821640,1032078123461940884635403650,1001214420817232565110230700,1035246180844616104600902437,1037711935618336717545940712
12208545,1618009910,2021-04-09T23:11:50.000Z,1032052978245756199766434053,1032294510296041339360136000,1001214968881751503913348203,1035417164166638841643472030,1037935090591979250518789108
12214305,1618085905,2021-04-10T20:18:25.000Z,1032264597762410424655435291,1032592758754071732925758909,1001215370370322358854436565,1035623716250454102306996874,1038197158589841075611525061
12220065,1618162590,2021-04-11T17:36:30.000Z,1032497492595249944990421713,1032905499375306904725549774,1001216405255289312556566034,1035881850039377642420530569,1038456833777699268391620339
12225825,1618238434,2021-04-12T14:40:34.000Z,1032763373929808328026270356,1033149109410850866745015717,1001217806629802689205642284,1036122725360999243268547165,1038687648954223171578369594
12231585,1618314950,2021-04-13T11:55:50.000Z,1032953962746605285294205196,1033398982244466499499012766,1001218847072413632703289940,1036375524317975653418408734,1038937846380636144286240371
12237345,1618391793,2021-04-14T09:16:33.000Z,1033231399994628595984697783,1033655522846318522195183566,1001219859599208670228584235,1036635400839509654692014599,1039209358124682689902554774
12243105,1618468961,2021-04-15T06:42:41.000Z,1033499981358083250916059648,1033930274347743800651965385,1001220790230465138108572033,1036977333791122493281841813,1039483140065879053036157396
12248865,1618545295,2021-04-16T03:54:55.000Z,1033835206439464805801656999,1034268581820780946418348010,1001221687386119339415839601,1037442953121973207533919886,1039728795525942735472608980
12254625,1618622408,2021-04-17T01:20:08.000Z,1034073394009980608006220995,1034572290555891777279907455,1001222114660507650604602748,1037825518701292999955514757,1039972174047429409781839517
12260385,1618699692,2021-04-17T22:48:12.000Z,1034289000538442790927570668,1034785338744040157230354967,1001222657929687661239523018,1038151886804610802127088123,1040197368580685060735968124
12266145,1618776276,2021-04-18T20:04:36.000Z,1034492078390879989118856229,1034974674411746570263549921,1001223306578124162625330132,1038501983182182296147597374,1040360680577103055064990157
12271905,1618854304,2021-04-19T17:45:04.000Z,1034638844854840790904788462,1035168444615047321178527308,1001223944203387007455039405,1038859414871357481766727805,1040530536448378484168881950
12277665,1618930126,2021-04-20T14:48:46.000Z,1034776770198252112187696005,1035324719730128874911051708,1001224733096288806325739391,1039119398658908028913229066,1040696823253318530106918693
12283425,1619006098,2021-04-21T11:54:58.000Z,1034917855456969741005255984,1035475252924735744557516803,1001225336031702393458328035,1039279410718226887072294889,1040909416871401999109200408
12289185,1619083710,2021-04-22T09:28:30.000Z,1035089557089710181370042281,1035654392171546403566705173,1001226878030616958438569083,1039495871796400550394508062,1041126855969958914001013296
12294945,1619160327,2021-04-23T06:45:27.000Z,1035297031237971225183212787,1035857731059011731095856786,1001228875112988787694002910,1039714878156958525238071550,1041319524370447727600415977
12300705,1619237857,2021-04-24T04:17:37.000Z,1035449879396352873041905349,1036016444888192249286393151,1001229571432869544795354322,1039860483522024416622304187,1041464157499536885756911219
12306465,1619314388,2021-04-25T01:33:08.000Z,1035612473807821328833452214,1036159156134072907784046819,1001230489882027373655793070,1040005666968980890537811314,1041609400924317526715760170
12312225,1619390737,2021-04-25T22:45:37.000Z,1035822103251710987316918544,1036356429743472010028157023,1001230982045242172971945825,1040205403365222007644328643,1041769331618465073459379954
12317985,1619466758,2021-04-26T19:52:38.000Z,1036059301982924718734763336,1036601053233091949563510864,1001231633838788732316462008,1040467128091517803032818799,1041960592001328357844798964
12323745,1619543900,2021-04-27T17:18:20.000Z,1036323112755500954192225088,1036730243008261547214557959,1001233499232676111536268772,1040736911918321378233709332,1042293938758972276395797053
12329505,1619620440,2021-04-28T14:34:00.000Z,1036512313395107058768154834,1036825285000550287518799287,1001234800196547947886071611,1040969454301232700631892851,1042705103480270068766852093
12335265,1619698175,2021-04-29T12:09:35.000Z,1036729267472216778099644755,1036945532844482694515396161,1001235791904813877391798220,1041167499280325121442466883,1042842906190466515120083026
12341025,1619774864,2021-04-30T09:27:44.000Z,1036854639836921209429223186,1037102651199502218090845924,1001236445563232127187639799,1041267643291941191841532247,1042973746241975523576414235
